title,news_url,source_domain,tweet_num,real
New Rail Project Promises Faster Travel Times,https://www.financialexpress.com/economy/india-and-china-discuss-trade-relations,espncricinfo.com,93,1

New Rail Project Promises Faster Travel Times,https://www.sportskeeda.com/sports/major-sports-event-to-be-held-in-india,timesofindia.com,108,1

New Educational Reforms Proposed in Parliament,https://www.thebetterindia.com/education/indian-heritage-sites-recognized-by-unesco,hindustantimes.com,24,0

Indian Heritage Sites Recognized by UNESCO,https://www.theguardian.com/world/indian-wildlife-conservation-efforts,ndtv.com,99,0

Indian Cuisine Gains Popularity Worldwide,https://www.hindustantimes.com/entertainment/bollywood/actor-stars-in-upcoming-blockbuster,livemint.com,122,0

Cricket Team Wins Championship Match,https://www.livemint.com/news/renewable-energy-sector-research-breakthroughs,thebetterindia.com,68,1

Indian Startups Raise Billions in Funding,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,vogue.in,80,0

Indian Prime Minister Announces New Economic Policies,https://www.thewire.in/international/cultural-exchange-program-enhances-bilateral-relations,business-standard.com,126,1

Indian Scientists Develop New Vaccine for Diseases,https://www.thehindu.com/news/national/new-educational-reforms-proposed,indiatoday.in,28,1

Indian Scientists Develop New Vaccine for Diseases,https://www.techcrunch.com/startups/indian-startups-raise-billions-in-funding,thehindu.com,45,0

Indian Fashion Week Highlights Emerging Designers,https://www.hindustantimes.com/entertainment/bollywood/actor-stars-in-upcoming-blockbuster,business-standard.com,101,0

Technology Conference Showcases Innovative Startups,https://www.moneycontrol.com/news/business/new-rail-project-promises-faster-travel-times,hindustantimes.com,3,0

Cricket Team Wins Championship Match,https://www.moneycontrol.com/news/business/new-rail-project-promises-faster-travel-times,financialexpress.com,8,0

Indian Cuisine Gains Popularity Worldwide,https://www.financialexpress.com/economy/india-and-china-discuss-trade-relations,livemint.com,17,1

Social Media Trends Among Indian Youth,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,hindustantimes.com,51,1

Indian Wildlife Conservation Efforts Yield Positive Results,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,moneycontrol.com,30,1

Indian Wildlife Conservation Efforts Yield Positive Results,https://www.techcircle.in/news/technology-conference-showcases-innovative-startups,indiatoday.in,58,1

Indian Fashion Week Highlights Emerging Designers,https://www.theweek.in/news/india/2023/01/01/government-launches-initiative-for-women-empowerment.html,thebetterindia.com,24,1

Technology Conference Showcases Innovative Startups,https://www.financialexpress.com/economy/india-and-china-discuss-trade-relations,theweek.in,68,0

Government Launches Initiative for Women Empowerment,https://www.sportskeeda.com/sports/major-sports-event-to-be-held-in-india,ndtv.com,36,1
Technology Conference Showcases Innovative Startups,https://www.thebetterindia.com/education/indian-heritage-sites-recognized-by-unesco,thebetterindia.com,91,1

Indian Festival Celebrated with Traditional Events,https://www.techcrunch.com/startups/indian-startups-raise-billions-in-funding,espncricinfo.com,141,0

Technology Conference Showcases Innovative Startups,https://www.techcircle.in/news/technology-conference-showcases-innovative-startups,techcrunch.com,68,1

Monsoon Season Brings Heavy Rainfall Across India,https://www.financialexpress.com/economy/india-and-china-discuss-trade-relations,hindustantimes.com,9,0

Indian Fashion Week Highlights Emerging Designers,https://www.economictimes.indiatimes.com/news/economy/indian-cuisine-gains-popularity-worldwide,espncricinfo.com,40,0

Technology Conference Showcases Innovative Startups,https://www.hindustantimes.com/entertainment/bollywood/actor-stars-in-upcoming-blockbuster,techcrunch.com,18,1

Indian Cuisine Gains Popularity Worldwide,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,economictimes.indiatimes.com,110,1

Bollywood Actor Stars in Upcoming Blockbuster,https://www.techcircle.in/news/technology-conference-showcases-innovative-startups,theweek.in,114,1

Government Launches Initiative for Women Empowerment,https://www.vogue.in/fashion/news/indian-fashion-week-highlights-emerging-designers,espncricinfo.com,112,1

Bollywood Actor Stars in Upcoming Blockbuster,https://www.indiatoday.in/technology/news/story/social-media-trends-among-indian-youth,vogue.in,2,0

New Rail Project Promises Faster Travel Times,https://www.indiatoday.in/technology/news/story/social-media-trends-among-indian-youth,financialexpress.com,29,1

New Educational Reforms Proposed in Parliament,https://www.techcrunch.com/startups/indian-startups-raise-billions-in-funding,business-standard.com,17,0

Cultural Exchange Program Enhances Bilateral Relations,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,economictimes.indiatimes.com,104,0

India and China Discuss Trade Relations,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,financialexpress.com,4,0

Technology Conference Showcases Innovative Startups,https://www.sportskeeda.com/sports/major-sports-event-to-be-held-in-india,vogue.in,49,1

Indian Festival Celebrated with Traditional Events,https://www.livemint.com/news/renewable-energy-sector-research-breakthroughs,espncricinfo.com,11,1

Indian Fashion Week Highlights Emerging Designers,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,ndtv.com,32,0

Social Media Trends Among Indian Youth,https://www.ndtv.com/india-festival/indian-festival-celebrated-with-traditional-events,timesofindia.com,65,1

Major Sports Event to Be Held in India,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,financialexpress.com,83,0

Indian Fashion Week Highlights Emerging Designers,https://www.techcrunch.com/startups/indian-startups-raise-billions-in-funding,thehindu.com,65,1

Research Breakthrough in Renewable Energy Sector,https://www.ndtv.com/india-festival/indian-festival-celebrated-with-traditional-events,moneycontrol.com,92,1

Cricket Team Wins Championship Match,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,thehindu.com,75,1

Indian Startups Raise Billions in Funding,https://www.espncricinfo.com/series/cricket-team-wins-championship-match,business-standard.com,148,1

Major Sports Event to Be Held in India,https://www.techcrunch.com/startups/indian-startups-raise-billions-in-funding,financialexpress.com,56,0

Indian Cuisine Gains Popularity Worldwide,https://www.theguardian.com/world/indian-wildlife-conservation-efforts,thehindu.com,60,0

Indian Fashion Week Highlights Emerging Designers,https://www.livemint.com/news/renewable-energy-sector-research-breakthroughs,techcrunch.com,109,0

New Study Shows Increase in Urban Pollution Levels,https://www.techcircle.in/news/technology-conference-showcases-innovative-startups,financialexpress.com,99,0

New Educational Reforms Proposed in Parliament,https://www.thehindu.com/news/science/indian-scientists-develop-new-vaccine,business-standard.com,134,1

Bollywood Actor Stars in Upcoming Blockbuster,https://www.espncricinfo.com/series/cricket-team-wins-championship-match,theguardian.com,9,0

Indian Startups Raise Billions in Funding,https://www.theguardian.com/world/indian-wildlife-conservation-efforts,theguardian.com,21,1

Cricket Team Wins Championship Match,https://www.vogue.in/fashion/news/indian-fashion-week-highlights-emerging-designers,hindustantimes.com,134,1

Indian Heritage Sites Recognized by UNESCO,https://www.thehindu.com/news/national/new-educational-reforms-proposed,financialexpress.com,71,1

New Rail Project Promises Faster Travel Times,https://www.vogue.in/fashion/news/indian-fashion-week-highlights-emerging-designers,thebetterindia.com,130,0

India and China Discuss Trade Relations,https://www.indiatoday.in/technology/news/story/social-media-trends-among-indian-youth,moneycontrol.com,129,1

New Rail Project Promises Faster Travel Times,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,livemint.com,91,1

Major Sports Event to Be Held in India,https://www.thehindu.com/news/science/indian-scientists-develop-new-vaccine,ndtv.com,1,1

Social Media Trends Among Indian Youth,https://www.techcircle.in/news/technology-conference-showcases-innovative-startups,economictimes.indiatimes.com,81,0

Indian Prime Minister Announces New Economic Policies,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,techcrunch.com,140,1

Indian Fashion Week Highlights Emerging Designers,https://www.economictimes.indiatimes.com/news/economy/indian-cuisine-gains-popularity-worldwide,moneycontrol.com,145,1

New Educational Reforms Proposed in Parliament,https://www.ndtv.com/india-festival/indian-festival-celebrated-with-traditional-events,ndtv.com,34,1

India and China Discuss Trade Relations,https://www.thehindu.com/news/national/new-educational-reforms-proposed,theweek.in,94,1

New Rail Project Promises Faster Travel Times,https://www.thewire.in/international/cultural-exchange-program-enhances-bilateral-relations,vogue.in,109,0

Indian Startups Raise Billions in Funding,https://www.espncricinfo.com/series/cricket-team-wins-championship-match,financialexpress.com,122,0

Indian Fashion Week Highlights Emerging Designers,https://www.moneycontrol.com/news/business/new-rail-project-promises-faster-travel-times,business-standard.com,112,0

Social Media Trends Among Indian Youth,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,theguardian.com,128,1
Social Media Trends Among Indian Youth,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,financialexpress.com,100,0

Social Media Trends Among Indian Youth,https://www.sportskeeda.com/sports/major-sports-event-to-be-held-in-india,hindustantimes.com,44,0

Indian Startups Raise Billions in Funding,https://www.livemint.com/news/renewable-energy-sector-research-breakthroughs,ndtv.com,140,0

Indian Startups Raise Billions in Funding,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,theguardian.com,39,0

Bollywood Actor Stars in Upcoming Blockbuster,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,moneycontrol.com,60,0

Indian Startups Raise Billions in Funding,https://www.financialexpress.com/economy/india-and-china-discuss-trade-relations,theweek.in,95,0

Major Sports Event to Be Held in India,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,sportskeeda.com,22,0

India and China Discuss Trade Relations,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,indiatoday.in,110,1

Indian Startups Raise Billions in Funding,https://www.espncricinfo.com/series/cricket-team-wins-championship-match,ndtv.com,9,1

Indian Startups Raise Billions in Funding,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,espncricinfo.com,89,1

Indian Heritage Sites Recognized by UNESCO,https://www.thehindu.com/news/science/indian-scientists-develop-new-vaccine,thehindu.com,84,0

Indian Startups Raise Billions in Funding,https://www.financialexpress.com/economy/india-and-china-discuss-trade-relations,hindustantimes.com,34,1

New Rail Project Promises Faster Travel Times,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,indiatoday.in,114,0

Indian Festival Celebrated with Traditional Events,https://www.moneycontrol.com/news/business/new-rail-project-promises-faster-travel-times,economictimes.indiatimes.com,109,1

Indian Fashion Week Highlights Emerging Designers,https://www.techcrunch.com/startups/indian-startups-raise-billions-in-funding,livemint.com,3,1

Indian Cuisine Gains Popularity Worldwide,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,moneycontrol.com,64,1

Indian Wildlife Conservation Efforts Yield Positive Results,https://www.moneycontrol.com/news/business/new-rail-project-promises-faster-travel-times,theguardian.com,122,0

Cultural Exchange Program Enhances Bilateral Relations,https://www.theguardian.com/world/indian-wildlife-conservation-efforts,financialexpress.com,104,0

Indian Wildlife Conservation Efforts Yield Positive Results,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,techcrunch.com,108,1

Monsoon Season Brings Heavy Rainfall Across India,https://www.theweek.in/news/india/2023/01/01/government-launches-initiative-for-women-empowerment.html,indiatoday.in,100,1

India and China Discuss Trade Relations,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,theguardian.com,125,0

Cricket Team Wins Championship Match,https://www.indiatoday.in/technology/news/story/social-media-trends-among-indian-youth,theguardian.com,50,1

Indian Prime Minister Announces New Economic Policies,https://www.indiatoday.in/technology/news/story/social-media-trends-among-indian-youth,thebetterindia.com,71,1

Technology Conference Showcases Innovative Startups,https://www.hindustantimes.com/entertainment/bollywood/actor-stars-in-upcoming-blockbuster,sportskeeda.com,4,1

Research Breakthrough in Renewable Energy Sector,https://www.theweek.in/news/india/2023/01/01/government-launches-initiative-for-women-empowerment.html,financialexpress.com,118,0

New Rail Project Promises Faster Travel Times,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,moneycontrol.com,9,0
